ID,Supabase Name,Focal,Aperture,Mount,Shopify Match Handle,Confidence
"1023","AF50mm F1.8 Nikon (Z Mount) - Black","50mm","F1.8","Z","af-25-35-50mm-f1-8-aps-c-lens-for-e-fx-z","100%"
"1040","35mm/F1.4 M43 (Panasonic Olympus) - Black","35mm","F1.4","M43","af-35mm-f1-4","100%"
"3","BKL400Bi Bi-Color","","","","","0%"
"4","Panel P-500","","","","","0%"
"8","P-60S Spotlight","","","","","0%"
"1030","35mm F1.4 Canon (EOS-R Mount) mark iii FF - Black","35mm","F1.4","RF","af-35mm-f1-4","100%"
"1019","AF35mm F1.8 Nikon (Z Mount) - Black","35mm","F1.8","Z","af-35mm-f1-8-full-frame-lens-for-e-z-l","100%"
"2","YB-300R","","","","","0%"
"1","YM 350","","","","","0%"
"1027","AF135mm F1.8 Nikon (Z Mount) - Black","135mm","F1.8","Z","af-135mm-f1-8-full-frame-lens-for-e-z-l","100%"
"1020","AF35mm F1.8 Panasonic/Leica/Sigma (L Mount) - Black","35mm","F1.8","L","af-35mm-f1-8-full-frame-lens-for-e-z-l","100%"
"1007","50mm T2.0 Nikon (Z Mount) - Black","50mm","T2.0","Z","50mm-t2-0-full-frame-cine-lens-for-sony-e-nikon-z-panasonic-l","100%"
"1034","50mm F1.2 M43 (Panasonic Olympus) - Black","50mm","F1.2","M43","","0%"
"1043","Autofocus adapter for Canon EF - Nikon Z - Black","","","","","0%"
"1032","50mm F1.2 Sony (E Mount) - Black","50mm","F1.2","E","","0%"
"1049","10mm T2.1 Fuji (FX Mount) - Titanium Gray","10mm","T2.1","FX","10","100%"
"1029","35mm F1.4 Panasonic/Leica/Sigma (L Mount) mark iii FF - Black","35mm","F1.4","L","af-35mm-f1-4","100%"
"1062","55mm 1/8 Black Mist Filter - Black","55mm","","","55mm-f1-4","100%"
"1025","AF135mm F1.8 Sony (E Mount) - Black","135mm","F1.8","E","af-135mm-f1-8-full-frame-lens-for-e-z-l","100%"
"1005","50mm T2.0 Panasonic/Leica/Sigma (L Mount) - Black","50mm","T2.0","L","50mm-t2-0-full-frame-cine-lens-for-sony-e-nikon-z-panasonic-l","100%"
"1048","10mm T2.1 Sony (E Mount) - Titanium Gray","10mm","T2.1","E","10","100%"
"1026","AF135mm F1.8 Panasonic/Leica/Sigma (L Mount) - Black","135mm","F1.8","L","af-135mm-f1-8-full-frame-lens-for-e-z-l","100%"
"1003","35mm T2.0 Canon (EOS-R Mount) - Black","35mm","T2.0","RF","35mm-t2-0-full-frame-cine-lens-for-sony-e-nikon-z-panasonic-l","100%"
"1006","50mm T2.0 Canon (EOS-R Mount) - Black","50mm","T2.0","RF","50mm-t2-0-full-frame-cine-lens-for-sony-e-nikon-z-panasonic-l","100%"
"1002","35mm T2.0 Nikon (Z Mount) - Black","35mm","T2.0","Z","35mm-t2-0-full-frame-cine-lens-for-sony-e-nikon-z-panasonic-l","100%"
"1046","10mm T2.1 M43 (Panasonic Olympus) - Black","10mm","T2.1","M43","10","100%"
"1001","35mm T2.0 Panasonic/Leica/Sigma (L Mount) - Black","35mm","T2.0","L","35mm-t2-0-full-frame-cine-lens-for-sony-e-nikon-z-panasonic-l","100%"
"1036","50mm F1.8 Sony (E Mount) - Black","50mm","F1.8","E","af-25-35-50mm-f1-8-aps-c-lens-for-e-fx-z","100%"
"1037","50mm F1.8 Fuji (FX Mount) - Black","50mm","F1.8","FX","af-25-35-50mm-f1-8-aps-c-lens-for-e-fx-z","100%"
"1038","35mm/F1.4 Sony (E Mount) - Black","35mm","F1.4","E","af-35mm-f1-4","100%"
"1031","35mm F1.4 Nikon (Z Mount) mark iii FF - Black","35mm","F1.4","Z","af-35mm-f1-4","100%"
"1039","35mm/F1.4 Fuji (FX Mount) - Black","35mm","F1.4","FX","af-35mm-f1-4","100%"
"1047","10mm T2.1 Canon (EOS-R Mount) - Black","10mm","T2.1","RF","10","100%"
"1051","10mm T2.1 Canon (EOS-R Mount) - Titanium Gray","10mm","T2.1","RF","10","100%"
